dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
inverted,1000,1,1,VAR,0.041949518,mae,2
inverted,1000,1,10,VAR,0.39922613,mae,2
inverted,1000,1,1,LSTM,0.042514384,mae,2
inverted,1000,1,10,LSTM,0.3982793,mae,2
inverted,1000,1,1,TiDE,0.21722911,mae,2
inverted,1000,1,10,TiDE,1.4318932,mae,2
inverted,1000,1,1,Oracle,0.04193037,mae,2
inverted,1000,1,10,Oracle,0.39900282,mae,2
inverted,1000,1,1,TSMixer,0.21652034,mae,3
inverted,1000,1,10,TSMixer,1.4298817,mae,3
inverted,1000,1,1,VAR,0.041870482,mae,3
inverted,1000,1,10,VAR,0.39944375,mae,3
inverted,1000,1,1,LSTM,0.04239936,mae,3
inverted,1000,1,10,LSTM,0.42332622,mae,3
inverted,1000,1,1,TiDE,0.21686472,mae,3
inverted,1000,1,10,TiDE,1.430747,mae,3
inverted,1000,1,1,Oracle,0.04193037,mae,3
inverted,1000,1,10,Oracle,0.39900282,mae,3
inverted,1000,1,1,TSMixer,0.21701188,mae,4
inverted,1000,1,10,TSMixer,1.4317135,mae,4
inverted,1000,1,1,VAR,0.041881412,mae,4
inverted,1000,1,10,VAR,0.3985535,mae,4
inverted,1000,1,1,LSTM,0.042719185,mae,4
